~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2473.16480             0.77671             0.94399           320.88849           320.88849           635.59924           635.59924           116.49668            35.40594
          2473.31720             0.80115             0.94231           320.83539           320.83539           636.56744           636.56744           117.75159            35.50949
          2473.46960             0.80103             0.93932           319.91333           319.91333           637.49652           637.49652           113.34972            35.27843
          2473.62200             0.79608             0.93478           318.06668           318.06668           638.21967           638.21967           110.22010            34.92166
          2473.77440             0.79251             0.93570           315.85822           315.85822           638.93164           638.93164           111.14219            34.98220
          2473.92680             0.77245             0.93492           313.73694           313.73694           638.66272           638.66272           112.23579            35.60438
          2474.07920             0.76064             0.93679           311.62250           311.62250           637.21826           637.21826           111.37163            35.65407
          2474.23160             0.75842             0.93939           310.48239           310.48239           634.36151           634.36151           110.48958            36.23933
          2474.38400             0.78667             0.94426           310.62576           310.62576           631.73663           631.73663           111.60624            38.67650
          2474.53640             0.79723             0.94809           310.88251           310.88251           630.00018           630.00018           114.08055            36.72908
          2474.68880             0.80890             0.94682           310.73874           310.73874           629.85004           629.85004           113.96776            36.53514
          2474.84120             0.81667             0.93779           310.75845           310.75845           630.82880           630.82880           110.95315            37.88316
          2474.99360             0.82347             0.92215           310.84631           310.84631           632.38110           632.38110           109.40417            37.90145
          2475.14600             0.80467             0.91952           311.77151           311.77151           633.84625           633.84625           111.45917            38.32719
          2475.29840             0.80588             0.92637           310.58344           310.58344           634.69208           634.69208           115.78709            37.34763
          2475.45080             0.79908             0.92509           308.42645           308.42645           634.69861           634.69861           120.56151            36.73645
          2475.60320             0.79103             0.91444           305.05441           305.05441           634.26648           634.26648           123.69730            36.84161
          2475.75560             0.78321             0.90936           303.33182           303.33182           634.64594           634.64594           124.90715            36.03780
          2475.90800             0.77035             0.90989           303.10101           303.10101           636.57690           636.57690           126.54044            34.87986
          2476.06040             0.78206             0.90942           305.36612           305.36612           636.18774           636.18774           126.12428            36.19189
          2476.21280             0.77604             0.90279           305.90952           305.90952           632.02332           632.02332           119.86718            36.66725
          2476.36520          -999.25000             0.89439           306.51639           306.51639           626.06647           626.06647           112.63739            35.55252
          2476.51760          -999.25000             0.88845           305.15903           305.15903           622.74573           622.74573           110.65554            35.30254
          2476.67000             0.73959             0.89012           306.18344           306.18344           622.42908           622.42908           113.28084            34.90683
          2476.82240             0.75329             0.89034           309.93558           309.93558           622.09424           622.09424           116.68949            35.24226
          2476.97480             0.74147             0.88246           311.82147           311.82147           620.51691           620.51691           118.10097            35.22662
          2477.12720             0.77609             0.88385           309.06870           309.06870           618.17572           618.17572           116.99864            33.78674
          2477.27960             0.82108             0.88618           303.04834           303.04834           617.28125           617.28125           115.46070            35.25215
          2477.43200             0.82047             0.88095           298.95352           298.95352           617.36548           617.36548           112.76331            36.31163
          2477.58440             0.82054             0.88583           298.34991           298.34991           616.97803           616.97803           109.06527            35.87199
          2477.73680             0.80888             0.89435           298.76678           298.76678           614.65955           614.65955           111.33517            35.39927
          2477.88920             0.79588             0.89735           301.63806           301.63806           612.79236           612.79236           118.34956            36.15921
          2478.04160             0.80271             0.88166           306.52594           306.52594           611.57098           611.57098           121.36366            36.55009
          2478.19400             0.79714             0.88922           310.22495           310.22495           611.61206           611.61206           120.20572            37.72574
